,dep_id,site_name,latitude,longitude,commodities,Gold,Silver,Lead,Copper,Mercury,Tungsten,Sulfur-Pyrite,Zinc,Iron,Sulfur,Barium-Barite,Antimony,Tellurium,Fluorine-Fluorite,Uranium,Tin,Tantalum,Lithium,Niobium,Manganese,Silica,Phosphorous-Phosphates,Limestone,Stone,Gypsum-Anhydrite,Sand/Gravel,Vanadium,Sodium,Molybdenum,Feldspar,Calcium,Talc-Soapstone
70,10055433,Homestake Mine - 1949,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,10055434,Homestake Mine - 1952,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,10055435,Homestake Mine - 1954,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,10055436,Homestake Mine - 1955,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,10055437,Homestake Mine - 1957,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,10055438,Homestake Mine - 1959,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,10055439,Homestake Mine - 1961,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,10055440,Homestake Mine - 1963,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,10055441,Homestake Mine - 1964,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,10055442,Homestake Mine - 1966,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,10055443,Homestake Mine - 1968,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,10055444,Homestake Mine - 1970,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,10055445,Homestake Mine - 1972,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,10055446,Homestake Mine - 1973,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,10055447,Homestake Mine - 1975,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,10055448,Homestake Mine - 1977,44.36265,-103.79454,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,10055449,Bald Mountain Mining Company,44.3544,-103.8353,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,10055450,Dividend Decorah Mine,44.36413,-103.83725,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,10055451,Clinton Mine,44.34052,-103.84058,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,10055452,Folger Mine,44.34024,-103.8353,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,10055453,Portland Mine,44.34413,-103.84447,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,10055454,Dakota Group,44.34385,-103.84614,"Gold,  Silver,  , , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,10055457,Mogul Mine,44.32607,-103.8153,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,10055461,Golden Reward Mine,44.33107,-103.80225,"Gold,  Silver,  Tellurium,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,10055463,American Eagle Mine,44.35496,-103.83475,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,10055466,Apex Mine,44.34218,-103.83697,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,10055473,Reliance Mine,44.33746,-103.86419,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,10055474,Ben Hur Mine,44.33746,-103.82697,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,10055476,Alameda Mine,44.3419,-103.83252,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,10055477,Alpha-Platus Mine,44.3369,-103.81614,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,10055478,Alder Creek Gold Mining Company,44.32552,-103.76001,"Gold,  Silver,  Tungsten,  ,  , , , , , , ",1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,10055479,Esmeralda Mine,44.37302,-103.77058,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,10055493,"Clinton Mine Lundberg, Dorr, and Willson",44.33885,-103.81002,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,10055494,Buxton Mine,44.33802,-103.80475,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,10055495,Globe Mine,44.34329,-103.78975,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,10055496,Isadorah Mine,44.32385,-103.80169,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,10055497,Big Bonanza Mine,44.3344,-103.80725,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,10055498,Baltimore Mine,44.3369,-103.8303,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,10055501,Crown Hill Mine,44.35163,-103.85975,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,10055502,Gladiator Mine,44.35857,-103.79086,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,10055503,Columbus Mine,44.36913,-103.77669,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,10055504,Boscobel and Double Standard,44.33329,-103.8203,"Silver,  Gold,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,10055506,Glover Mine,44.34357,-103.7953,"Gold,  Silver,  ,  , , , , , , , ",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
